index,n,time
backtracking,62,0.287
backtracking,45,0.132
forward-checking,38,0.068
min-conflicts,33,0.031
forward-checking,2,0.0
backtracking,44,0.13
min-conflicts,38,0.126
forward-checking,69,1.506
forward-checking,73,249.756
min-conflicts,35,0.02
min-conflicts,31,0.01
forward-checking,42,0.779
min-conflicts,3,0.0
min-conflicts,18,0.002
backtracking,14,0.01
forward-checking,2,0.0
backtracking,45,1.966
min-conflicts,41,0.023
min-conflicts,9,0.0
backtracking,21,0.018
min-conflicts,37,0.024
min-conflicts,97,0.817
backtracking,32,0.057
backtracking,73,1.756
min-conflicts,56,0.041
min-conflicts,15,0.007
backtracking,27,0.043
min-conflicts,5,0.0
min-conflicts,13,0.001
forward-checking,13,0.007
min-conflicts,101,0.281
forward-checking,9,0.003
backtracking,26,0.041
forward-checking,19,0.015
backtracking,14,0.007
backtracking,83,0.675
min-conflicts,19,0.001
min-conflicts,29,0.018
backtracking,5,0.001
backtracking,54,0.655
backtracking,21,0.021
forward-checking,83,0.731
min-conflicts,32,0.03
min-conflicts,35,0.032
min-conflicts,30,0.017
forward-checking,21,0.116
forward-checking,48,0.193
forward-checking,54,0.217
forward-checking,49,0.625
forward-checking,34,0.181
min-conflicts,38,0.045
min-conflicts,84,0.168
forward-checking,18,0.012
min-conflicts,63,0.06
backtracking,48,2.933
forward-checking,61,0.836
min-conflicts,42,0.027
min-conflicts,35,0.047
backtracking,40,0.131
forward-checking,26,0.031
forward-checking,76,2.283
min-conflicts,37,0.024
forward-checking,48,0.161
forward-checking,60,0.325
forward-checking,3,0.001
backtracking,70,50.588
forward-checking,69,64.107
backtracking,76,1.165
backtracking,3,0.0
forward-checking,43,0.114
min-conflicts,4,0.0
min-conflicts,10,0.0
min-conflicts,26,0.004
backtracking,58,0.335
min-conflicts,51,0.079
min-conflicts,31,0.017
min-conflicts,108,0.268
backtracking,47,0.234
min-conflicts,19,0.003
backtracking,34,0.06
forward-checking,35,0.066
min-conflicts,28,0.01
backtracking,82,0.666
forward-checking,74,12.236
forward-checking,38,0.07
forward-checking,70,0.423
forward-checking,36,0.075
backtracking,66,0.536
min-conflicts,59,0.043
min-conflicts,17,0.003
backtracking,38,0.152
min-conflicts,74,0.274
min-conflicts,30,0.09
min-conflicts,31,0.047
forward-checking,22,0.018
min-conflicts,28,0.027
min-conflicts,19,0.002
min-conflicts,20,0.008
backtracking,41,0.149
backtracking,80,18.992
forward-checking,81,291.05
backtracking,65,0.331
min-conflicts,18,0.008
forward-checking,39,0.08
forward-checking,67,0.751
forward-checking,78,21.816
forward-checking,27,0.073
min-conflicts,3,0.0
backtracking,78,4.622
backtracking,10,0.003
backtracking,41,0.088
min-conflicts,32,0.015
min-conflicts,13,0.001
min-conflicts,29,0.006
backtracking,37,0.32
backtracking,7,0.004
min-conflicts,17,0.003
min-conflicts,6,0.001
min-conflicts,9,0.001
min-conflicts,56,0.049
min-conflicts,46,0.019
backtracking,60,0.371
backtracking,25,0.027
min-conflicts,75,0.174
forward-checking,25,0.028
backtracking,75,206.989
backtracking,42,0.095
forward-checking,24,0.052
min-conflicts,2,0.0
forward-checking,35,0.085
min-conflicts,41,0.04
forward-checking,9,0.003
min-conflicts,45,0.042
min-conflicts,48,0.102
forward-checking,47,0.248
backtracking,28,0.048
backtracking,43,0.114
min-conflicts,77,0.122
forward-checking,52,0.385
forward-checking,29,0.041
forward-checking,43,0.221
min-conflicts,10,0.001
backtracking,49,1.204
forward-checking,54,0.202
forward-checking,24,0.026
min-conflicts,2,0.001
min-conflicts,98,0.467
forward-checking,39,0.075
backtracking,74,7.516
forward-checking,24,0.087
min-conflicts,40,0.039
backtracking,32,1.137
min-conflicts,2,0.0
min-conflicts,16,0.003
forward-checking,73,80.33
backtracking,68,0.466
min-conflicts,4,0.0
min-conflicts,59,0.156
backtracking,27,0.031
backtracking,55,0.202
forward-checking,32,0.056
min-conflicts,14,0.004
min-conflicts,52,0.055
backtracking,39,0.073
forward-checking,5,0.001
min-conflicts,26,0.012
forward-checking,54,0.302
backtracking,33,0.051
min-conflicts,70,0.151
min-conflicts,5,0.001
backtracking,56,0.931
backtracking,6,0.001
backtracking,2,0.001
min-conflicts,47,0.021
forward-checking,13,0.006
min-conflicts,10,0.001
forward-checking,51,0.302
